time,adj close,vol90_BTC,vol30_BTC,vol7_BTC,price_ETH,vol90_ETH,vol30_ETH,vol7_ETH,
2016/7/31,623.7,101.6748732,13.5299026,4.103424818,0 ,0,0,0,
2016/8/1,608,100.6968333,15.15884818,12.64790591,0 ,0,0,0,
2016/8/2,604,99.50823077,17.82946709,19.42212778,0 ,0,0,0,
2016/8/3,604.1,98.37674944,18.44899181,23.50914716,0 ,0,0,0,
2016/8/4,604.1,97.15135831,20.72523838,25.4814218,0 ,0,0,0,
2016/8/5,604.1,95.89574539,21.99841922,24.38899049,0 ,0,0,0,
2016/8/6,604.1,94.80903598,23.41260983,19.15528026,0 ,0,0,0,
2016/8/7,604.1,93.66585901,24.22957274,7.316159544,0 ,0,0,0,
2016/8/8,604.1,92.47546276,25.45087876,1.480829883,0 ,0,0,0,
2016/8/9,604.1,91.27082223,26.29240876,0.037796447,0 ,0,0,0,
2016/8/10,590.3,89.81998432,27.25614051,0,0 ,0,0,0,
2016/8/11,591.3,88.35912546,28.81831235,5.215909728,0 ,0,0,0,
2016/8/12,585.5,86.89790503,30.13160196,6.496152708,0 ,0,0,0,
2016/8/13,583.7,85.41641289,31.12424933,8.250021645,0 ,0,0,0,
2016/8/14,569.4,83.88995265,32.33484011,9.14361604,0 ,0,0,0,
2016/8/15,564.6,82.42333663,33.96539145,12.13352302,0 ,0,0,0,
2016/8/16,574.2,80.83438886,35.34108823,13.47054989,0 ,0,0,0,
2016/8/17,571.8,79.13754202,35.85307502,10.49394383,0 ,0,0,0,
2016/8/18,572.2,77.40177138,35.27811083,9.727183315,0 ,0,0,0,
2016/8/19,573.5,75.12408895,34.8128106,7.55346026,0 ,0,0,0,
2016/8/20,582,72.91721456,33.8933147,5.793880187,0 ,0,0,0,
2016/8/21,581.4,70.53068869,32.87510954,5.27153181,0 ,0,0,0,
2016/8/22,588,67.92836041,31.63702254,5.98716882,0 ,0,0,0,
2016/8/23,583.5,65.33380455,30.90616202,6.233358798,0 ,0,0,0,
2016/8/24,580.3,62.66400549,29.7869039,6.38081201,0 ,0,0,0,
2016/8/25,577.2,59.99975011,27.95644067,5.556891903,0 ,0,0,0,
2016/8/26,578,57.37306468,26.38339865,4.608274132,0 ,0,0,0,
2016/8/27,568.5,55.1884687,24.85518263,3.62143092,0 ,0,0,0,
2016/8/28,574.2,54.49721481,22.74137174,6.069282534,0 ,0,0,0,
2016/8/29,574.8,53.80772589,19.35948489,6.310233563,0 ,0,0,0,
2016/8/30,579.5,53.1373248,15.20963699,4.799603158,0 ,0,0,0,
2016/8/31,576.2,52.35351624,13.65624105,4.022318687,0 ,0,0,0,
2016/9/1,572.7,51.71980958,13.12588738,3.577908407,0 ,0,0,0,
2016/9/2,579.8,51.15966835,12.81143751,3.622548432,0 ,0,0,0,
2016/9/3,609.9,51.04953367,12.25621869,3.934463115,0 ,0,0,0,
2016/9/4,614.5,50.71610663,12.6364643,13.00966674,0 ,0,0,0,
2016/9/5,611.5,50.3733459,13.34573159,17.59902595,0 ,0,0,0,
2016/9/6,615.2,50.17147606,13.79507492,18.85969499,0 ,0,0,0,
2016/9/7,619.8,49.85309049,14.48370031,19.71897805,0 ,0,0,0,
2016/9/8,631.7,49.58639674,15.47022502,18.87987086,0 ,0,0,0,
2016/9/9,626.3,49.19792856,17.35592118,15.84589477,0 ,0,0,0,
2016/9/10,628,48.86597917,18.8547369,8.026711359,0 ,0,0,0,
2016/9/11,612.1,48.82363283,20.27756503,7.736924454,0 ,0,0,0,
2016/9/12,611.6,48.7297957,20.72910248,8.116825558,0 ,0,0,0,
2016/9/13,614.2,48.18386577,21.09872361,8.098089134,0 ,0,0,0,
2016/9/14,613.9,47.91291674,21.16987015,8.218619975,0 ,0,0,0,
2016/9/15,611.8,47.45559749,20.91579313,8.599501647,0 ,0,0,0,
2016/9/16,610,45.16092188,20.86345014,7.129482717,0 ,0,0,0,
2016/9/17,607.7,43.38983099,20.59614432,6.115670738,0 ,0,0,0,
2016/9/18,613,41.1905914,20.21308783,2.240110541,0 ,0,0,0,
2016/9/19,609.8,38.38393735,19.91882983,2.297721439,0 ,0,0,0,
2016/9/20,600,36.25572478,19.78329407,2.414144825,0 ,0,0,0,
2016/9/21,597.4,36.01060955,19.49656645,4.66756794,0 ,0,0,0,
2016/9/22,597.1,36.06659148,19.37571326,6.020243627,0 ,0,0,0,
2016/9/23,603.3,36.16411042,19.13140915,6.639528096,0 ,0,0,0,
2016/9/24,602.5,35.91416706,18.74867689,6.271325523,0 ,0,0,0,
2016/9/25,600.4,35.66869328,18.18675785,6.070694634,0 ,0,0,0,
2016/9/26,609.1,35.72624622,17.61108063,4.335127834,0 ,0,0,0,
2016/9/27,605.5,35.46775028,16.39323522,4.114203041,0 ,0,0,0,
2016/9/28,603.8,35.38759541,15.37829527,4.32220182,0 ,0,0,0,
2016/9/29,604.6,35.3594232,14.26552834,3.78461799,0 ,0,0,0,
2016/9/30,611.1,34.88942242,13.34744541,2.712756461,0 ,0,0,0,
2016/10/1,614.1,34.37268252,12.01455104,3.712783579,0 ,0,0,0,
2016/10/2,609.1,33.08693095,9.995194823,4.715526532,0 ,0,0,0,
2016/10/3,612.6,32.78043936,8.257674939,3.751634564,0 ,0,0,0,
2016/10/4,611,32.03476545,8.26411784,4.109918317,0 ,0,0,0,
2016/10/5,614.1,31.54384017,8.233612076,3.920762802,0 ,0,0,0,
2016/10/6,613.5,30.83531402,8.256990073,3.325085033,0 ,0,0,0,
2016/10/7,620.1,30.70499658,8.230786753,1.885407623,0 ,0,0,0,
2016/10/8,620.5,30.22581794,8.242477588,3.432686023,0 ,0,0,0,
2016/10/9,616.6,30.00630362,7.473813288,4.349110473,0 ,0,0,0,
2016/10/10,618.9,29.75107096,6.947872411,3.696587873,0 ,0,0,0,
2016/10/11,641.7,29.5177097,6.301216814,3.643454666,0 ,0,0,0,
2016/10/12,637.6,29.10270909,8.597607259,9.633399242,0 ,0,0,0,
2016/10/13,637,28.89131634,9.908860542,10.9286648,0 ,0,0,0,
2016/10/14,643,28.56268792,10.9434471,10.72713515,0 ,0,0,0,
2016/10/15,640.2,28.17994756,12.29948555,11.5589586,0 ,0,0,0,
2016/10/16,644.2,27.75930576,13.24242616,11.03157805,0 ,0,0,0,
2016/10/17,639.8,26.90927663,14.30030343,8.624466857,0 ,0,0,0,
2016/10/18,638.8,26.22670845,14.89912595,2.665207934,0 ,0,0,0,
2016/10/19,631.8,25.48698968,15.43198053,2.672968744,0 ,0,0,0,
2016/10/20,632.5,24.89073403,15.58784672,4.093432603,0 ,0,0,0,
2016/10/21,636.7,24.30231557,15.42366036,4.799454334,0 ,0,0,0,
2016/10/22,665,24.12678147,15.18740252,4.415287296,0 ,0,0,0,
2016/10/23,659,24.38476144,16.59379783,11.3095619,0 ,0,0,0,
2016/10/24,654.7,24.31824808,17.44967015,13.18012573,0 ,0,0,0,
2016/10/25,659.5,24.32876782,17.78041025,13.70012165,0 ,0,0,0,
2016/10/26,678.7,24.55647581,18.09079559,14.23643883,0 ,0,0,0,
2016/10/27,688.7,25.18443419,19.92618591,16.01560251,0 ,0,0,0,
2016/10/28,693.5,26.03843016,22.00481896,16.83037221,0 ,0,0,0,
2016/10/29,714.5,27.08721432,23.8734701,15.57851084,0 ,0,0,0,
2016/10/30,702.5,29.20871821,27.06251702,22.10827253,0 ,0,0,0,
2016/10/31,704.1,30.75467546,28.79219822,21.86804583,0 ,0,0,0,
2016/11/1,734.2,32.23217445,30.32543582,18.29525049,0 ,0,0,0,
2016/11/2,737.9,34.64497694,33.51074283,18.20754684,0 ,0,0,0,
2016/11/3,690.1,36.97808947,36.35489516,19.13606667,0 ,0,0,0,
2016/11/4,708.4,37.76555347,35.96933943,18.87244149,0 ,0,0,0,
2016/11/5,708.4,38.94338701,36.21245436,17.35252143,0 ,0,0,0,
2016/11/6,713,40.05273434,36.14416282,17.42351995,0 ,0,0,0,
2016/11/7,707.8,41.21226296,36.29584457,16.89020567,0 ,0,0,0,
2016/11/8,714,42.1825673,35.98863742,16.59396046,0 ,0,0,0,
2016/11/9,723.8,43.14879677,35.46059104,14.11981047,0 ,0,0,0,
2016/11/10,714.9,44.29418062,35.15958184,10.15313698,0 ,0,0,0,
2016/11/11,714.8,45.10192004,35.23440407,5.635305375,0 ,0,0,0,
2016/11/12,703.8,45.82879241,34.96414666,5.292267495,0 ,0,0,0,
2016/11/13,708.1,46.10180345,34.18039046,6.271591277,0 ,0,0,0,
2016/11/14,707.4,46.32913672,33.5966925,6.558927032,0 ,0,0,0,
2016/11/15,712.2,46.63273539,32.70429407,6.607823646,0 ,0,0,0,
2016/11/16,745,46.93986649,31.93378638,6.570098209,0 ,0,0,0,
2016/11/17,740.7,47.92103675,32.01245016,13.77494274,0 ,0,0,0,
2016/11/18,754,48.72115625,31.41320482,16.80792047,0 ,0,0,0,
2016/11/19,752.9,49.88128784,30.59869447,21.18992348,0 ,0,0,0,
2016/11/20,729.7,50.90748198,29.17671111,21.3383625,0 ,0,0,0,
2016/11/21,739,51.43013326,26.49305287,18.80698958,0 ,0,0,0,
2016/11/22,750,52.02279714,25.78266392,14.5016912,0 ,0,0,0,
2016/11/23,742,52.73771053,24.84973716,8.708561742,0 ,0,0,0,
2016/11/24,737.7,53.16542534,22.74368019,8.751924958,0 ,0,0,0,
2016/11/25,740.4,53.45752466,20.3460341,9.012478122,0 ,0,0,0,
2016/11/26,731.2,53.58153012,19.21246153,7.782397721,0 ,0,0,0,
2016/11/27,725,53.57688417,18.28421843,6.82757016,0 ,0,0,0,
2016/11/28,731.5,53.43028131,17.44463327,7.979348344,0 ,0,0,0,
2016/11/29,731,53.40704882,17.41548558,8.303957748,0 ,0,0,0,
2016/11/30,739,53.26580927,16.96527894,6.091641424,0 ,0,0,0,
2016/12/1,755.4,53.13005391,16.66961893,5.523413368,0 ,0,0,0,
2016/12/2,774.9,53.35187001,17.44882468,9.947265717,0 ,0,0,0,
2016/12/3,765.3,54.34661552,19.44184047,17.80785006,0 ,0,0,0,
2016/12/4,768.5,55.10943657,19.20611164,19.24105234,0 ,0,0,0,
2016/12/5,750.6,55.84172265,19.9199386,18.32573003,0 ,0,0,0,
2016/12/6,757.4,56.23008157,19.63173715,15.99925594,0 ,0,0,0,
2016/12/7,765,56.73613289,19.65823509,12.02992301,0 ,0,0,0,
2016/12/8,765,57.43750483,19.64284433,8.385077448,0 ,0,0,0,
2016/12/9,770.5,58.04535904,19.74494144,7.806285624,0 ,0,0,0,
2016/12/10,772.9,58.71889916,20.32089944,6.888015818,0 ,0,0,0,
2016/12/11,770.2,59.21295911,20.53336198,7.813602303,0 ,0,0,0,
2016/12/12,778,59.5954369,20.42889575,7.991334593,0 ,0,0,0,
2016/12/13,775,60.09239,19.8082721,6.635438766,0 ,0,0,0,
2016/12/14,774.5,60.47384781,19.026329,4.855875185,0 ,0,0,0,
2016/12/15,777.4,60.76350776,17.84467627,4.201587002,0 ,0,0,0,
2016/12/16,784.2,61.02053927,16.83728792,3.073388079,0 ,0,0,0,
2016/12/17,791,61.30135811,17.64405699,4.466435673,0 ,0,0,0,
2016/12/18,790.2,61.71564591,18.60564616,6.919159046,0 ,0,0,0,
2016/12/19,790.6,62.00236173,19.57704027,6.994453585,0 ,0,0,0,
2016/12/20,798,62.07102031,20.43955738,7.551316505,0 ,0,0,0,
2016/12/21,830,62.15141984,20.85118702,8.317422907,0 ,0,0,0,
2016/12/22,859.2,62.80719954,23.88203384,16.91620806,0 ,0,0,0,
2016/12/23,919,64.19463461,29.31368673,27.85999009,0 ,0,0,0,
2016/12/24,895.2,67.27616938,39.81911457,48.83433609,0 ,0,0,0,
2016/12/25,898,69.2470188,44.92939659,52.34562792,0 ,0,0,0,
2016/12/26,906.4,71.23979576,49.24250115,50.98442339,0 ,0,0,0,
2016/12/27,936.3,73.21726681,52.95757237,44.739947,0 ,0,0,0,
